1;4766;9.900000;98;small
2;4943;9.900000;52;small
3;1766;9.900000;178;small
4;2305;9.900000;152;small
5;2086;9.900000;207;small
6;1592;9.900000;291;small
7;4574;9.900000;239;small
8;4802;9.900000;194;small
9;4308;9.900000;261;small
10;1859;9.900000;311;small
11;1435;9.900000;215;small
12;1176;9.900000;281;small
13;4954;9.900000;208;small
14;4263;9.900000;295;small
15;4713;9.900000;351;small
16;4132;9.900000;359;small
17;4460;9.900000;324;small
18;1646;9.900000;441;small
19;5136;9.900000;245;small
20;1762;9.900000;394;small
21;5058;9.900000;401;small
22;4905;9.900000;382;small
23;1103;9.900000;371;small
24;959;9.900000;622;small
25;4394;9.900000;545;small
26;5088;9.900000;688;small
27;5205;9.900000;480;small
28;1596;9.900000;555;small
29;4085;9.900000;634;small
30;1141;9.900000;511;small
31;5011;9.900000;467;small
32;1156;9.900000;527;small
33;4288;9.900000;547;small
34;4736;9.900000;475;small
35;4552;9.900000;563;small
36;4903;9.900000;700;small
37;4701;9.900000;865;small
38;4174;9.900000;721;small
39;4412;9.900000;853;small
40;4637;9.900000;956;small
41;4343;9.900000;902;small
42;4183;9.900000;937;small
43;3899;9.900000;802;small
44;4983;9.900000;814;small
45;4470;9.900000;928;small
46;4839;9.900000;832;small
47;1162;9.900000;884;small
48;4016;9.900000;885;small
49;4695;9.900000;925;small
50;3665;9.900000;842;small
51;3844;9.900000;940;small
52;5118;9.900000;949;small
53;3923;9.900000;1019;small
54;3986;9.900000;977;small
55;1115;9.900000;957;small
56;4738;9.900000;1030;small
57;4974;9.900000;1116;small
58;5132;9.900000;1006;small
59;1096;9.900000;1140;small
60;1144;9.900000;1142;small
61;4358;9.900000;1140;small
62;1505;9.900000;1164;small
63;489;9.900000;1178;small
64;964;9.900000;1173;small
65;1245;9.900000;1148;small
66;561;9.900000;1251;small
67;1026;9.900000;1206;small
68;1451;9.900000;1222;small
69;4108;9.900000;1163;small
70;1123;9.900000;1231;small
71;795;9.900000;1280;small
72;338;9.900000;1320;small
73;4213;9.900000;1289;small
74;1006;9.900000;1295;small
75;2154;9.900000;1334;small
76;1800;9.900000;1306;small
77;737;9.900000;1293;small
78;1689;9.900000;1379;small
79;315;9.900000;1338;small
80;1903;9.900000;1274;small
81;675;9.900000;1418;small
82;392;9.900000;1338;small
83;3807;9.900000;1524;small
84;1849;9.900000;1446;small
85;1272;9.900000;1457;small
86;1689;9.900000;1420;small
87;4294;9.900000;1335;small
88;2086;9.900000;1448;small
89;1917;9.900000;1565;small
90;4497;9.900000;1510;small
91;876;9.900000;1413;small
92;463;9.900000;1525;small
93;4448;9.900000;1508;small
94;899;9.900000;1494;small
95;1590;9.900000;1534;small
96;4578;9.900000;1603;small
97;893;9.900000;1572;small
98;4054;9.900000;1486;small
99;1317;9.900000;1547;small
100;4394;9.900000;1640;small
101;2058;9.900000;1634;small
102;1131;9.900000;1495;small
103;4602;9.900000;1807;small
104;869;9.900000;1640;small
105;4319;9.900000;1620;small
106;1889;9.900000;1629;small
107;1482;9.900000;1651;small
108;1762;9.900000;1651;small
109;2615;9.900000;1670;small
110;4220;9.900000;1663;small
111;4215;9.900000;1774;small
112;4116;9.900000;1793;small
113;3974;9.900000;1713;small
114;4319;9.900000;1860;small
115;4283;9.900000;1779;small
116;2475;9.900000;84;small
117;1819;9.900000;122;small
118;3698;9.900000;41;small
119;5107;9.900000;62;small
120;922;9.900000;125;small
121;1926;9.900000;110;small
122;110;9.900000;71;small
123;3578;9.900000;49;small
124;2365;9.900000;120;small
125;5442;9.900000;6;small
126;5255;9.900000;134;small
127;4603;9.900000;61;small
128;1525;9.900000;77;small
129;2788;9.900000;49;small
130;587;9.900000;166;small
131;5467;9.900000;195;small
132;4150;9.900000;4;small
133;1019;9.900000;256;small
134;2451;9.900000;193;small
135;3271;9.900000;8;small
136;107;9.900000;381;small
137;4042;9.900000;269;small
138;3687;9.900000;263;small
139;2989;9.900000;196;small
140;2455;9.900000;321;small
141;457;9.900000;159;small
142;2093;9.900000;336;small
143;3491;9.900000;147;small
144;3053;9.900000;316;small
145;2597;9.900000;406;small
146;2204;9.900000;378;small
147;3584;9.900000;331;small
